high_br,low_br,Difference,PR_usage,pre_map_change,post_map_change,drop_accuracy_test,first_half,second_half,study
1,1,0,0.5,1,1,0,1,1,5
1,1,0,0.25,1,1,0,1,1,5
1,1,0,0.5,1,1,0,1,1,5
1,1,0,0.25,1,1,0,1,1,5
1,1,0,0.75,1,1,0,1,1,5
1,1,0,0.5,1,0.25,0.75,0,0.5,5
1,1,0,0.5,1,0.25,0.75,0,0.5,5
1,1,0,1,1,0,1,0,0,5
1,0.5,0.5,0.75,0.75,0.75,0,1,0.5,5
1,1,0,0.5,1,0.5,0.5,0.5,0.5,5
1,1,0,0,1,1,0,1,1,5
1,0.5,0.5,0.666666667,0.75,0.75,0,1,1,5
1,1,0,0.25,1,0.5,0.5,0.5,0.5,5
1,1,0,0.5,1,1,0,1,1,5
0.5,0.5,0,1,0.5,0.5,0,1,0,5
1,0,1,0.5,0.5,0,0.5,0,0,5
1,1,0,0.5,1,0,1,0,0,5
1,1,0,0.5,1,0,1,0,0,5
1,1,0,0.25,1,0,1,0,0,5
1,1,0,0.75,1,0.25,0.75,0,0.5,5
1,1,0,0.5,1,0,1,0,0,5
1,1,0,0.5,1,0.5,0.5,0.5,0.5,5
1,1,0,0.75,1,0,1,0,0,5
1,0.5,0.5,0.5,0.75,0.75,0,1,0.5,5
1,1,0,0.75,1,0,1,0,0,5
1,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,5
1,1,0,0.25,1,0,1,0,0,5
0.5,1,-0.5,0.5,0.75,1,-0.25,1,1,5
1,1,0,1,1,0,1,0,0,5
1,1,0,0.5,1,0,1,0,0,5
1,1,0,0.75,1,0,1,0,0,5
1,1,0,1,1,0,1,0,0,5
1,1,0,0.75,1,0.5,0.5,1,0,5
1,1,0,0.75,1,0.75,0.25,1,0.5,5
1,1,0,0.25,1,1,0,1,1,5
1,1,0,0.5,1,1,0,1,1,5
1,0.5,0.5,0.75,0.75,0.75,0,1,0.5,5
1,1,0,0.5,1,0,1,0,0,5
1,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5,5
1,0,1,0.5,0.75,0.5,0.25,0.5,0.5,5
1,1,0,0.25,1,0.25,0.75,0.5,0,5
1,1,0,0.333333333,1,1,0,1,1,5
