consent1_next.keys,consent1_next.rt,consent1_next_2.keys,consent1_next_2.rt,key_resp_10.keys,key_resp_10.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials,image_prac1,image_prac2,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,practice_answer.keys,practice_answer.corr,practice_answer.rt,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,practice_loop.ran,key_resp_23.keys,key_resp_23.rt,key_resp_22.keys,key_resp_22.rt,key_resp_17.keys,key_resp_17.rt,key_resp_18.keys,key_resp_18.rt,key_resp_19.keys,key_resp_19.rt,key_resp_20.keys,key_resp_20.rt,instructions_get_right.thisRepN,instructions_get_right.thisTrialN,instructions_get_right.thisN,instructions_get_right.thisIndex,instructions_get_right.ran,key_resp_4.keys,key_resp_4.rt,click_action.keys,click_action.corr,click_action.rt,action_selection.thisRepN,action_selection.thisTrialN,action_selection.thisN,action_selection.thisIndex,action_selection.ran,click_action_2.keys,click_action_2.corr,click_action_2.rt,action_selection_two.thisRepN,action_selection_two.thisTrialN,action_selection_two.thisN,action_selection_two.thisIndex,action_selection_two.ran,resp4.keys,resp4_4.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,s1_image,s2_image,s3_image,action1,action2,resp4.rt,resp4_4.rt,key_resp_3.keys,key_resp_24.keys,key_resp_25.keys,key_resp_25.rt,key_resp_34.keys,key_resp_34.rt,PR_vs_SR.thisRepN,PR_vs_SR.thisTrialN,PR_vs_SR.thisN,PR_vs_SR.thisIndex,PR_vs_SR.ran,trial_num,r1,r1_num,r2,r2_num,r3,r3_num,r4,a1,a2,r5_num,corr_quiz_ans,type_trial_immediate_first,key_resp_24.rt,key_resp_8.keys,key_resp_29.keys,key_resp_29.rt,transition_reval_choice.keys,transition_reval_choice.rt,transition_revaluation_round.thisRepN,transition_revaluation_round.thisTrialN,transition_revaluation_round.thisN,transition_revaluation_round.thisIndex,transition_revaluation_round.ran
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.146,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,294,294,294,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.847,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.73,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,295,295,295,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.614,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.789,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,296,296,296,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.646,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.774,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,297,297,297,1,compass.png,tree.png,bell.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0.766,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.642,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,298,298,298,1,hammer.png,fox.png,trident.png,7,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.905,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.472,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,299,299,299,1,tophat.png,tree.png,planet.png,4,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.784,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.622,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,300,300,300,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1.016,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.356,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,301,301,301,1,snorkel.png,tree.png,planet.png,1,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.743,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.38,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,302,302,302,1,compass.png,watch.png,trident.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,0.785,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.678,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,303,303,303,1,hammer.png,fox.png,trident.png,7,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,0.654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.653,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,304,304,304,1,compass.png,tree.png,bell.png,5,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.664,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.655,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,305,305,305,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.843,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.43,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,306,306,306,1,train.png,tree.png,planet.png,2,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.775,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.611,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,307,307,307,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0.745,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.654,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,308,308,308,1,apple.png,fox.png,trident.png,6,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0.789,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.701,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,309,309,309,1,train.png,watch.png,trident.png,2,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.752,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.411,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,310,310,310,1,north.png,tree.png,planet.png,3,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0.761,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,1,0.693,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,311,311,311,1,north.png,watch.png,trident.png,3,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,0.772,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.427,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,312,312,312,1,tophat.png,tree.png,planet.png,4,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0.891,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,5f64647e17ef411eb0c20359,001,2023-08-12_19h04.44.609,study6,2022.2.5,Win32,144.5086705,5f64647e17ef411eb0c20359,64d6e2ce8cb7a97160018342,64d7c9799828311c5fec9ff5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,1,0.403,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
